data;nome_entidade;comentarios_positivos;comentarios_negativos;intensidade_impacto;subjetividade
2026-06-12;Casemiro;2;3;5;Factual/Informativo
2026-06-12;Casemiro;2;1;7;Factual/Informativo
2026-06-12;Casemiro;1;0;8;Sentimental/Passional
2026-06-12;Casemiro;0;1;7;Sentimental/Passional
2026-06-13;Casemiro;1;1;10;Sentimental/Passional
2026-06-13;Casemiro;0;4;5;Sentimental/Passional
2026-06-13;Casemiro;2;0;9;Sentimental/Passional
2026-06-13;Casemiro;1;0;8;Factual/Informativo
2026-06-13;Casemiro;1;1;5;Factual/Informativo
2026-06-13;Casemiro;2;2;9;Factual/Informativo
2026-06-13;Casemiro;1;1;9;Factual/Informativo
2026-06-13;Casemiro;0;1;7;Sentimental/Passional
2026-06-14;Casemiro;0;0;5;Factual/Informativo
2026-06-14;Casemiro;0;2;9;Factual/Informativo
2026-06-14;Casemiro;0;2;8;Sentimental/Passional
2026-06-14;Casemiro;0;0;8;Sentimental/Passional
2026-06-14;Casemiro;0;3;7;Sentimental/Passional
2026-06-14;Casemiro;1;2;8;Factual/Informativo
2026-06-14;Casemiro;1;2;8;Factual/Informativo
2026-06-14;Casemiro;0;5;8;Sentimental/Passional
2026-06-14;Casemiro;0;5;9;Sentimental/Passional
2026-06-14;Casemiro;0;0;6;Sentimental/Passional
2026-06-14;Casemiro;0;3;6;Factual/Informativo
2026-06-14;Casemiro;3;1;10;Sentimental/Passional
2026-06-14;Casemiro;0;4;10;Factual/Informativo
2026-06-14;Casemiro;0;1;8;Factual/Informativo
2026-06-14;Casemiro;0;2;9;Sentimental/Passional
2026-06-14;Casemiro;0;2;9;Factual/Informativo
2026-06-14;Casemiro;0;1;6;Factual/Informativo
2026-06-15;Casemiro;2;1;7;Sentimental/Passional
2026-06-15;Casemiro;1;3;10;Factual/Informativo
2026-06-15;Casemiro;0;3;9;Sentimental/Passional
2026-06-15;Casemiro;1;1;10;Sentimental/Passional
2026-06-15;Casemiro;1;0;8;Sentimental/Passional
2026-06-15;Casemiro;2;0;6;Factual/Informativo
2026-06-15;Casemiro;0;0;5;Factual/Informativo
2026-06-15;Casemiro;1;2;8;Factual/Informativo
2026-06-16;Casemiro;2;4;8;Factual/Informativo
2026-06-16;Casemiro;1;2;9;Sentimental/Passional
2026-06-16;Casemiro;0;2;7;Sentimental/Passional
2026-06-16;Casemiro;0;0;9;Factual/Informativo
2026-06-16;Casemiro;1;1;5;Sentimental/Passional
2026-06-16;Casemiro;1;2;7;Sentimental/Passional
2026-06-16;Casemiro;0;1;8;Factual/Informativo
2026-06-17;Casemiro;2;1;6;Factual/Informativo
2026-06-17;Casemiro;0;3;7;Factual/Informativo
2026-06-17;Casemiro;1;0;9;Factual/Informativo
2026-06-17;Casemiro;1;1;8;Factual/Informativo
2026-06-17;Casemiro;0;1;5;Factual/Informativo
2026-06-17;Casemiro;4;0;10;Factual/Informativo
2026-06-17;Casemiro;0;2;6;Sentimental/Passional
2026-06-18;Casemiro;2;2;9;Factual/Informativo
2026-06-18;Casemiro;0;0;5;Sentimental/Passional
2026-06-18;Casemiro;1;1;8;Factual/Informativo
2026-06-18;Casemiro;1;2;5;Factual/Informativo
2026-06-18;Casemiro;2;1;9;Factual/Informativo
2026-06-18;Casemiro;0;0;8;Factual/Informativo
2026-06-18;Casemiro;4;0;8;Factual/Informativo
2026-06-18;Casemiro;2;1;8;Factual/Informativo
2026-06-18;Casemiro;0;2;8;Sentimental/Passional
2026-06-18;Casemiro;0;1;8;Sentimental/Passional
2026-06-18;Casemiro;0;1;10;Factual/Informativo
2026-06-18;Casemiro;0;4;8;Sentimental/Passional
2026-06-19;Casemiro;0;2;10;Factual/Informativo
2026-06-19;Casemiro;2;0;8;Sentimental/Passional
2026-06-19;Casemiro;2;1;6;Sentimental/Passional
2026-06-19;Casemiro;1;2;9;Factual/Informativo
2026-06-19;Casemiro;0;2;7;Factual/Informativo
2026-06-19;Casemiro;2;0;8;Sentimental/Passional
2026-06-20;Casemiro;1;2;8;Factual/Informativo
2026-06-20;Casemiro;1;2;7;Factual/Informativo
2026-06-20;Casemiro;1;1;9;Factual/Informativo
2026-06-20;Casemiro;3;1;8;Factual/Informativo
2026-06-20;Casemiro;2;3;7;Sentimental/Passional
2026-06-20;Casemiro;0;1;10;Factual/Informativo
2026-06-20;Casemiro;2;0;10;Factual/Informativo
2026-06-20;Casemiro;0;0;9;Factual/Informativo
2026-06-20;Casemiro;5;1;9;Factual/Informativo
2026-06-20;Casemiro;2;0;6;Sentimental/Passional
2026-06-20;Casemiro;1;1;9;Sentimental/Passional
2026-06-20;Casemiro;0;1;9;Factual/Informativo
2026-06-20;Casemiro;0;0;7;Factual/Informativo
2026-06-20;Casemiro;1;1;7;Factual/Informativo
2026-06-20;Casemiro;0;1;9;Factual/Informativo
2026-06-20;Casemiro;1;0;6;Sentimental/Passional
2026-06-20;Casemiro;2;0;7;Factual/Informativo
2026-06-20;Casemiro;2;4;7;Factual/Informativo
2026-06-20;Casemiro;0;1;7;Sentimental/Passional
2026-06-20;Casemiro;2;0;9;Sentimental/Passional
2026-06-20;Casemiro;3;1;7;Sentimental/Passional
2026-06-20;Casemiro;3;0;8;Sentimental/Passional
2026-06-20;Casemiro;1;2;10;Factual/Informativo
2026-06-20;Casemiro;1;1;9;Sentimental/Passional
2026-06-20;Casemiro;0;1;6;Sentimental/Passional
2026-06-20;Casemiro;1;0;5;Sentimental/Passional
2026-06-21;Casemiro;0;1;5;Sentimental/Passional
2026-06-21;Casemiro;0;1;5;Factual/Informativo
2026-06-21;Casemiro;2;1;7;Factual/Informativo
2026-06-21;Casemiro;1;1;10;Sentimental/Passional
2026-06-21;Casemiro;2;1;8;Factual/Informativo
